"App DisplayName","App ID","Total SignIn Events"
"AzureSupportCenter","37182072-3c9c-4f6a-a4b3-b3f91cacffce","0"
"Microsoft Teams User Profile Search Service","a47591ab-e23e-4ffa-9e1b-809b9067e726","0"
"Microsoft Teams Task Service","d0597157-f0ae-4e23-b06c-9e65de434c4f","0"
"Microsoft Visio Data Visualizer","00695ed2-3202-4156-8da1-69f60065e255","0"
"Microsoft Teams ATP Service","0fa37baf-7afc-4baf-ab2d-d5bb891d53ef","0"
"P2P Server","f7566f13-4b99-4312-b269-845fefe4d8b4","0"
"OCaaS Experience Management Service","6e99704e-62d5-40f6-b2fe-90aafbe3a710","0"
"Azure AD Identity Governance","bf26f092-3426-4a99-abfb-97dad74e661a","0"
"Microsoft.Azure.SyncFabric","00000014-0000-0000-c000-000000000000","0"
"Application Insights Configuration Service","6a0a243c-0886-468a-a4c2-eff52c7445da","0"
"Microsoft Teams Bots","64f79cb9-9c82-4199-b85b-77e35b7dcbcb","0"
"Microsoft Teams Web Client","5e3ce6c0-2b1f-4285-8d4b-75ee78787346","0"
"Centralized Deployment","257601fd-462f-4a21-b623-7f719f0f90f4","0"
"ComplianceWorkbenchApp","92876b03-76a3-4da8-ad6a-0511ffdf8647","0"
"Microsoft Stream Mobile Native","844cca35-0656-46ce-b636-13f48b0eecbd","0"
"Metrics Monitor API","12743ff8-d3de-49d0-a4ce-6c91a4245ea0","0"
"Microsoft Windows AutoPilot Service API","cbfda01c-c883-45aa-aedc-e7a484615620","0"
"Graph Connector Service","56c1da01-2129-48f7-9355-af6d59d42766","0"
"Microsoft Teams - Device Admin Agent","87749df4-7ccf-48f8-aa87-704bad0e0e16","0"
"Microsoft.DynamicsMarketing","9b06ebd4-9068-486b-bdd2-dac26b8a5a7a","0"
"Azure Monitor Control Service","e933bd07-d2ee-4f1d-933c-3752b819567b","0"
"Verifiable Credentials Issuer Service","603b8c59-ba28-40ff-83d1-408eee9a93e5","0"
"Microsoft Intune Web Company Portal","74bcdadc-2fdc-4bb3-8459-76d06952a0e9","0"
"drg","7b2b1e95-25f9-46b7-b448-63c16a032fff","0"
"Skype and Teams Tenant Admin API","48ac35b8-9aa8-4d74-927d-1f4a14a0b239","0"
"Azure Data Warehouse Polybase","0130cc9f-7ac5-4026-bd5f-80a08a54e6d9","0"
"Intune DeviceActionService","18a4ad1e-427c-4cad-8416-ef674e801d32","0"
"Diagnostic Services Trusted Storage Access","562db366-1b96-45d2-aa4a-f2148cef2240","0"
"Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","0"
"Microsoft B2B Admin Worker","1e2ca66a-c176-45ea-a877-e87f7231e0ee","0"
"Office 365 Enterprise Insights","f9d02341-e7aa-456d-926d-4a0ca599fbee","0"
"My Apps","2793995e-0a7d-40d7-bd35-6968ba142197","3"
"Azns AAD Webhook","461e8683-5575-4561-ac7f-899cc907d62a","0"
"Bing","9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7","16"
"Microsoft Mobile Application Management","0a5f63c0-b750-4f38-a71c-4fc0d58b89e2","0"
"Azure AD Identity Protection","fc68d9e5-1f76-45ef-99aa-214805418498","0"
"Microsoft Dynamics 365 Apps Integration","44a02aaa-7145-4925-9dcd-79e6e1b94eff","0"
"YammerOnOls","c26550d6-bc82-4484-82ca-ac1c75308ca3","0"
"Microsoft Teams Services","cc15fd57-2c6c-4117-a88c-83b1d56b4bbe","0"
"Microsoft To-Do","c830ddb0-63e6-4f22-bd71-2ad47198a23e","0"
"Microsoft Teams Web Client","e1829006-9cf1-4d05-8b48-2e665cb48e6a","0"
"Azure Information Protection","5b20c633-9a48-4a5f-95f6-dae91879051f","0"
"Common Data Service User Management","c92229fa-e4e7-47fc-81a8-01386459c021","0"
"Demeter.WorkerRole","3c31d730-a768-4286-a972-43e9b83601cd","0"
"PushChannel","4747d38e-36c5-4bc3-979b-b0ef74df54d1","0"
"Power Query Online GCC-L4","ef947699-9b52-4b31-9a37-ef325c6ffc47","0"
"Microsoft Intune SCCM Connector","63e61dc2-f593-4a6f-92b9-92e4d2c03d4f","0"
"PowerAppsService","331cc017-5973-4173-b270-f0042fddfd75","0"
"Internal_AccessScope","3f9bd1ee-5a72-4ad3-b67d-cb016f935bcf","0"
"Power BI Premium","cb4dc29f-0bf4-402a-8b30-7511498ed654","0"
"Azure Advanced Threat Protection","7b7531ad-5926-4f2d-8a1d-38495ad33e17","0"
"IDML Graph Resolver Service and CAD","d88a361a-d488-4271-a13f-a83df7dd99c2","0"
"Microsoft.MileIQ.Dashboard","f7069a8d-9edc-4300-b365-ae53c9627fc4","0"
"Azure SQL Database","022907d3-0f1b-48f7-badc-1ba6abab6d66","0"
"Marketplace Caps API","184909ca-69f1-4368-a6a7-c558ee6eb0bd","0"
"Automated Call Distribution","11cd3e2e-fccb-42ad-ad00-878b93575e07","0"
"CPIM Service","bb2a2e3a-c5e7-4f0a-88e0-8e01fd3fc1f4","0"
"Exchange Office Graph Client for AAD - Noninteractive","765fe668-04e7-42ba-aec0-2c96f1d8b652","0"
"Microsoft Intune Checkin","26a4ae64-5862-427f-a9b0-044e62572a4f","0"
"O365SBRM Service","9d06afd9-66c9-49a6-b385-ea7509332b0b","0"
"Intune DiagnosticService","7f0d9978-eb2a-4974-88bd-f22a3006fe17","0"
"OneDrive Web","33be1cef-03fb-444b-8fd3-08ca1b4d803f","0"
"aciapi","c5b17a4f-cc6f-4649-9480-684280a2af3a","0"
"Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","3"
"Dual-write","6f7d0213-62b1-43a8-b7f4-ff2bb8b7b452","0"
"Microsoft Information Protection Sync Service","870c4f2e-85b6-4d43-bdda-6ed9a579b725","0"
"Exchange Office Graph Client for AAD - Interactive","6da466b6-1d13-4a2c-97bd-51a99e8d4d74","0"
"Azure AD Application Proxy","47ee738b-3f1a-4fc7-ab11-37e4822b007e","0"
"ReportReplica","f25a7567-8ec5-4582-8a65-bfd66b0530cc","0"
"IPSubstrate","4c8f074c-e32b-4ba7-b072-0f39d71daf51","0"
"AAD App Management","f0ae4899-d877-4d3c-ae25-679e38eea492","0"
"M365DataAtRestEncryption","c066d759-24ae-40e7-a56f-027002b5d3e4","0"
"SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","2"
"Microsoft Teams VSTS","a855a166-fd92-4c76-b60d-a791e0762432","0"
"Microsoft Invoicing","b6b84568-6c01-4981-a80f-09da9a20bbed","0"
"Teams Approvals","3e050dd7-7815-46a0-8263-b73168a42c10","0"
"Azure Smart Alerts","3af5a1e8-2459-45cb-8683-bcd6cccbcc13","0"
"Microsoft Flow Portal","6204c1d1-4712-4c46-a7d9-3ed63d992682","0"
"Microsoft Teams Graph Service","ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b","0"
"Azure Multi-Factor Auth Client","981f26a1-7f43-403b-a875-f8b09b8cd720","0"
"AAD Request Verification Service - PROD","c728155f-7b2a-4502-a08b-b8af9b269319","0"
"Office 365 Configure","aa9ecb1e-fd53-4aaa-a8fe-7a54de2c1334","0"
"Microsoft Azure Workflow","00000005-0000-0000-c000-000000000000","0"
"Azure AD Identity Governance - SPO Management","396e7f4b-41ea-4851-b04d-65de6cf1b4a3","0"
"Call Recorder","4580fd1d-e5a3-4f56-9ad1-aab0e3bf8f76","0"
"AzureLockbox","a0551534-cfc9-4e1f-9a7a-65093b32bb38","0"
"Office 365 Information Protection","2f3f02c9-5679-4a5c-a605-0de55b07d135","0"
"Azure ESTS Service","00000001-0000-0000-c000-000000000000","0"
"MicrosoftGuestConfiguration","e935b4a5-8968-416d-8414-caed51c782a9","0"
"Azure AD Identity Governance - Directory Management","ec245c98-4a90-40c2-955a-88b727d97151","0"
"Microsoft Parature Dynamics CRM","8909aac3-be91-470c-8a0b-ff09d669af91","0"
"Application Insights API","f5c26e74-f226-4ae8-85f0-b4af0080ac9e","0"
"OfficeClientService","0f698dd4-f011-4d23-a33e-b36416dcb1e6","0"
"Microsoft Social Engagement","e8ab36af-d4be-4833-a38b-4d6cf1cfd525","0"
"Federated Profile Service","7e468355-e4db-46a9-8289-8d414c89c43c","0"
"Microsoft Device Management Enrollment","709110f7-976e-4284-8851-b537e9bcb187","0"
"Device Registration Service","01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9","0"
"Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","0"
"Microsoft Teams AuthSvc","a164aee5-7d0a-46bb-9404-37421d58bdf7","0"
"SharePoint Notification Service","3138fe80-4087-4b04-80a6-8866c738028a","0"
"Tutorial Sample App","6731de76-14a6-49ae-97bc-6eba6914391e","3"
"Teams ACL management service","6208afad-753e-4995-bbe1-1dfd204b3030","0"
"Microsoft Teams Retail Service","75efb5bc-18a1-4e7b-8a66-2ad2503d79c6","0"
"Azure Traffic Manager and DNS","2cf9eb86-36b5-49dc-86ae-9a63135dfa8c","0"
"Microsoft Azure Policy Insights","1d78a85d-813d-46f0-b496-dd72f50a3ec0","0"
"Windows Store for Business","45a330b1-b1ec-4cc1-9161-9f03992aa49f","0"
"Microsoft To-Do","2087bd82-7206-4c0a-b305-1321a39e5926","0"
"Dynamics Data Integration","2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b","0"
"Graph explorer (official site)","de8bc8b5-d9f9-48b1-a8ad-b748da725064","394"
"Managed Service Identity","ef5d5c69-a5df-46bb-acaf-426f161a21a2","0"
"SharePoint Home Notifier","4e445925-163e-42ca-b801-9073bfa46d17","0"
"Smartsheet","c68947ae-a07f-44ce-9a13-7b559251731d","38"
"Microsoft Device Management EMM API","8ae6a0b1-a07f-4ec9-927a-afb8d39da81c","0"
"Microsoft Service Trust","d6fdaa33-e821-4211-83d0-cf74736489e1","0"
"Microsoft Whiteboard Services","95de633a-083e-42f5-b444-a4295d8e9314","0"
"Network Watcher","7c33bfcb-8d33-48d6-8e60-dc6404003489","0"
"Microsoft Intune API","c161e42e-d4df-4a3d-9b42-e7a3c31f59d4","0"
"Skype for Business Application Configuration Service","00f82732-f451-4a01-918c-0e9896e784f9","0"
"Microsoft.OfficeModernCalendar","ab27a73e-a3ba-4e43-8360-8bcc717114d8","0"
"Microsoft Teams RetentionHook Service","f5aeb603-2a64-4f37-b9a8-b544f3542865","0"
"Microsoft Office Web Apps Service","67e3df25-268a-4324-a550-0de1c7f97287",
"O365 Customer Monitoring","3aa5c166-136f-40eb-9066-33ac63099211","0"
"RPA - Machine Management Relay Service","aad3e70f-aa64-4fde-82aa-c9d97a4501dc","0"
"Networking-MNC","6d057c82-a784-47ae-8d12-ca7b38cf06b4","0"
"Office 365 Import Service","3eb95cef-b10f-46fe-94e0-969a3d4c9292","0"
"Substrate-FileWatcher","fbb0ac1a-82dd-478b-a0e5-0b2b98ef38fe","0"
"Compute Recommendation Service","b9a92e36-2cf8-4f4e-bcb3-9d99e00e14ab","0"
"Dynamics Provision","39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f","0"
"ConnectionsService","b7912db9-aa33-4820-9d4f-709830fdd78f","0"
"Lab App 02 MSGraph Access","e248791a-921e-4d1a-a04a-a37b549e8588","12"
"Microsoft Intune","0000000a-0000-0000-c000-000000000000","0"
"AD Hybrid Health","6ea8091b-151d-447a-9013-6845b83ba57b","0"
"Microsoft password reset service","93625bc8-bfe2-437a-97e0-3d0060024faa","0"
"Teams User Engagement Profile Service","0f54b75d-4d29-4a92-80ae-106a60cd8f5d","0"
"ProjectWorkManagement","09abbdfd-ed23-44ee-a2d9-a627aa1c90f3","0"
"Microsoft Office Licensing Service Agents","d7097cd1-c779-44d0-8c71-ab1f8386a97e","0"
"Azure API Management","8602e328-9b72-4f2d-a4ae-1387d013a2b3","0"
"MCAPI Authorization Prod","d73f4b35-55c9-48c7-8b10-651f6f2acb2e","0"
"MsgDataMgmt","61a63147-3824-45f5-a186-ace3f4c9daeb","0"
"Azure Compute","579d9c9d-4c83-4efc-8124-7eba65ed3356","0"
"EDU Assignments","8f348934-64be-4bb2-bc16-c54c96789f43","0"
"Office Scripts Service","62fd1447-0ef3-4ab7-a956-7dd05232ecc1","0"
"Azure Analysis Services","4ac7d521-0382-477b-b0f8-7e1d95f85ca2","0"
"AnAuthLab-ClientCredentialFlow","2bfddaf4-0673-49a7-a615-2b6bb3acbf31","0"
"O365 LinkedIn Connection","f569b9c7-be15-4e87-86f7-87d30d02090b","0"
"Yggdrasil","78e7bc61-0fab-4d35-8387-09a8d2f5a59d","0"
"Skype for Business Management Reporting and Analytics - Legacy","de17788e-c765-4d31-aba4-fb837cfff174","0"
"CCM TAGS","997dc448-eeab-4c93-8811-6b2c80196a16","0"
"Skype for Business Name Dictionary Service","e95d8bee-4725-4f59-910d-94d415da51b9","0"
"DWEngineV2","441509e5-a165-4363-8ee7-bcf0b7d26739","0"
"Power Query Online GCC-L5","8c8fbf21-0ef3-4f60-81cf-0df811ff5d16","0"
"Microsoft Stream Portal","cf53fce8-def6-4aeb-8d30-b158e7b1cf83","0"
"AAD Delegation Auth CX","4c1a2751-600c-4c94-8bf9-a69c52a92eb5","0"
"Azure Lab Services","1a14be2a-e903-4cec-99cf-b2e209259a0f","0"
"AI Builder Authorization Service","ad40333e-9910-4b61-b281-e3aeeb8c3ef3","0"
"DeploymentScheduler","8bbf8725-b3ca-4468-a217-7c8da873186e","0"
"Skype Business Voice Directory","27b24f1f-688b-4661-9594-0fdfde972edc","0"
"Skype for Business Online","00000004-0000-0ff1-ce00-000000000000","0"
"Microsoft Graph","00000003-0000-0000-c000-000000000000","0"
"Azure Support - Network Watcher","341b7f3d-69b3-47f9-9ce7-5b7f4945fdbd","0"
"Microsoft Discovery Service","6f82282e-0070-4e78-bc23-e6320c5fa7de","0"
"Microsoft Intune Advanced Threat Protection Integration","794ded15-70c6-4bcd-a0bb-9b7ad530a01a","0"
"Microsoft Flow Service","7df0a125-d3be-4c96-aa54-591f83ff541c","0"
"DirectoryLookupService","9cd0f7df-8b1a-4e54-8c0c-0ef3a51116f6","0"
"Azure AD Identity Governance Insights","58c746b0-a0b0-4647-a8f6-12dde5981638","0"
"Sway","905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba","0"
"Microsoft Operations Management Suite","d2a0a418-0aac-4541-82b2-b3142c89da77","0"
"IC3 Long Running Operations Service","21a8a852-89f4-4947-a374-b26b2db3d365","0"
"Office Change Management","601d4e27-7bb3-4dee-8199-90d47d527e1c","0"
"Groupies Web Service","925eb0d0-da50-4604-a19f-bd8de9147958","0"
"AIGraphClient","0f6edad5-48f2-4585-a609-d252b1c52770","0"
"Log Analytics API","ca7f3f0b-7d91-482c-8e09-c5d840d0eac5","0"
"Microsoft Azure AD Identity Protection","a3dfc3c6-2c7d-4f42-aeec-b2877f9bce97","0"
"Microsoft.MileIQ.RESTService","b692184e-b47f-4706-b352-84b288d2d9ee","0"
"Common Data Service","00000007-0000-0000-c000-000000000000","0"
"Microsoft Teams Targeting Application","8e14e873-35ba-4720-b787-0bed94370b17","0"
"Office 365 Reports","507bc9da-c4e2-40cb-96a7-ac90df92685c","0"
"Microsoft.ExtensibleRealUserMonitoring","e3583ad2-c781-4224-9b91-ad15a8179ba0","0"
"Microsoft Forms","c9a559d2-7aab-4f13-a6ed-e7e9c52aec87","0"
"Azure DNS","19947cfd-0303-466c-ac3c-fcc19a7a1570","0"
"Power Platform Data Analytics","7dcff627-a295-4553-9229-b1f3513f82a8","0"
"Data Classification Service","7c99d979-3b9c-4342-97dd-3239678fb300","0"
"LabLetsEncrypt","eb6c5332-a0d0-4b57-bc82-94a0a7bc641e","0"
"O365Account","1cda9b54-9852-4a5a-96d4-c2ab174f9edf","0"
"Power BI Service","00000009-0000-0000-c000-000000000000","0"
"Azure Cost Management XCloud","3184af01-7a88-49e0-8b55-8ecdce0aa950","0"
"Audit GraphAPI Application","4bfd5d66-9285-44a1-bb14-14953e8cdf5e","0"
"Microsoft Intune AAD BitLocker Recovery Key Integration","ccf4d8df-75ce-4107-8ea5-7afd618d4d8a","0"
"Azure Cost Management Scheduled Actions","6b3368c6-61d2-4a72-854c-42d1c4e71fed","0"
"Microsoft Invitation Acceptance Portal","4660504c-45b3-4674-a709-71951a6b0763","0"
"LetsEncrypt","feac4650-0a6b-4f1f-839f-34fde5fbb665","0"
"Request Approvals Read Platform","d8c767ef-3e9a-48c4-aef9-562696539b39","0"
"Microsoft.MileIQ","a25dbca8-4e60-48e5-80a2-0664fdb5c9b6","0"
"WindowsDefenderATP","fc780465-2017-40d4-a0c5-307022471b92","0"
"Power Platform Global Discovery Service","93bd1aa4-c66b-4587-838c-ffc3174b5f13","0"
"Azure Linux VM Sign-In","ce6ff14a-7fdc-4685-bbe0-f6afdfcfa8e0","0"
"Microsoft Threat Protection","8ee8fdad-f234-4243-8f3b-15c294843740","0"
"Azure Resources Topology","509e4652-da8d-478d-a730-e9d4a1996ca4","0"
"Cloud Hybrid Search","feff8b5b-97f3-4374-a16a-1911ae9e15e9","0"
"NFV Resource Provider","328fd23b-de6e-462c-9433-e207470a5727","0"
"Azure SQL Managed Instance to Microsoft.Network","76c7f279-7959-468f-8943-3954880e0d8c","0"
"Intune CMDeviceService","14452459-6fa6-4ec0-bc50-1528a1a06bf0","0"
"Azure Graph","dbcbd02a-d7c4-42fb-8c27-b07e5118b848","0"
"Billing","80dbdb39-4f33-4799-8b6f-711b5e3e61b6","0"
"MicrosoftAzureADFulfillment","f09d1391-098c-47d7-ac7e-6ed2afc5016b","0"
"AADSaml","9b749cc9-004a-419b-a532-31da51bff999","105"
"OCPS Admin Service","f416c5fc-9ac4-4f66-a8e5-cb203139cbe4","0"
"My Staff","ba9ff945-a723-4ab5-a977-bd8c9044fe61","0"
"MS-PIM","01fc33a7-78ba-4d2f-a4b7-768e336e890e","0"
"Dynamics 365 Business Central","996def3d-b36c-4153-8607-a6fd3c01b89f","0"
"Directory and Policy Cache","7b58f833-4438-494c-a724-234928795a67","0"
"Azure Multi-Factor Auth Connector","1f5530b3-261a-47a9-b357-ded261e17918","0"
"alloceus2s01ipoolappsvc01-appreg","0fb0f657-c6bb-4460-b025-c74bbc5f95f9","0"
"OCPS Checkin Service","23c898c1-f7e8-41da-9501-f16571f8d097","0"
"Microsoft Customer Engagement Portal","71234da4-b92f-429d-b8ec-6e62652e50d7","0"
"Office 365 Management APIs","c5393580-f805-4401-95e8-94b7a6ef2fc2","0"
"Microsoft Azure Log Search Alerts","f6b60513-f290-450e-a2f3-9930de61c5e7","0"
"AAD Terms Of Use","d52792f4-ba38-424d-8140-ada5b883f293","0"
"AnAuthLab-ImplicitGrantFlow","b4c1990a-717a-4cf4-b545-debb74caeeff","0"
"Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","5"
"M365 Pillar Diagnostics Service API","8bea2130-23a1-4c09-acfb-637a9fb7c157","0"
"Office Enterprise Protection Service","55441455-2f54-42b5-bc99-93e21cd4ae28","0"
"Search Federation Connector - Dataverse","9c60a40b-b5c5-4d01-8588-776209c80db3","0"
"Microsoft Azure App Service","abfa0a7c-a6b6-4736-8310-5855508787cd","0"
